0.996094,0.5,-0.0125906
0.996094,0.5,-0.0125906
0.988281,0.5,-0.0407157
0.988281,0.5,-0.0407157
0.980469,0.5,-0.0714719
0.980469,0.5,-0.0714719
0.972656,0.5,-0.104508
0.972656,0.5,-0.104508
0.964844,0.5,-0.13919
0.964844,0.5,-0.13919
0.957031,0.5,-0.17502
0.957031,0.5,-0.17502
0.949219,0.5,-0.211125
0.949219,0.5,-0.211125
0.941406,0.5,-0.246949
0.941406,0.5,-0.246949
0.933594,0.5,-0.281495
0.933594,0.5,-0.281495
0.925781,0.5,-0.31427
0.925781,0.5,-0.31427
0.917969,0.5,-0.344303
0.917969,0.5,-0.344303
0.910156,0.5,-0.371304
0.910156,0.5,-0.371304
0.902344,0.5,-0.394462
0.902344,0.5,-0.394462
0.894531,0.5,-0.413796
0.894531,0.5,-0.413796
0.886719,0.5,-0.428736
0.886719,0.5,-0.428736
0.878906,0.5,-0.439645
0.878906,0.5,-0.439645
0.871094,0.5,-0.446199
0.871094,0.5,-0.446199
0.863281,0.5,-0.449056
0.863281,0.5,-0.449056
0.855469,0.5,-0.448075
0.855469,0.5,-0.448075
0.847656,0.5,-0.444113
0.847656,0.5,-0.444113
0.839844,0.5,-0.437113
0.839844,0.5,-0.437113
0.832031,0.5,-0.428018
0.832031,0.5,-0.428018
0.824219,0.5,-0.416765
0.824219,0.5,-0.416765
0.816406,0.5,-0.40429
0.816406,0.5,-0.40429
0.808594,0.5,-0.390455
0.808594,0.5,-0.390455
0.800781,0.5,-0.376135
0.800781,0.5,-0.376135
0.792969,0.5,-0.361088
0.792969,0.5,-0.361088
0.785156,0.5,-0.346105
0.785156,0.5,-0.346105
0.777344,0.5,-0.330837
0.777344,0.5,-0.330837
0.769531,0.5,-0.31599
0.769531,0.5,-0.31599
0.761719,0.5,-0.301128
0.761719,0.5,-0.301128
0.753906,0.5,-0.286883
0.753906,0.5,-0.286883
0.746094,0.5,-0.272755
0.746094,0.5,-0.272755
0.738281,0.5,-0.259324
0.738281,0.5,-0.259324
0.730469,0.5,-0.246048
0.730469,0.5,-0.246048
0.722656,0.5,-0.233469
0.722656,0.5,-0.233469
0.714844,0.5,-0.221025
0.714844,0.5,-0.221025
0.707031,0.5,-0.209233
0.707031,0.5,-0.209233
0.699219,0.5,-0.197524
0.699219,0.5,-0.197524
0.691406,0.5,-0.186403
0.691406,0.5,-0.186403
0.683594,0.5,-0.175304
0.683594,0.5,-0.175304
0.675781,0.5,-0.16472
0.675781,0.5,-0.16472
0.667969,0.5,-0.154098
0.667969,0.5,-0.154098
0.660156,0.5,-0.143926
0.660156,0.5,-0.143926
0.652344,0.5,-0.13366
0.652344,0.5,-0.13366
0.644531,0.5,-0.123785
0.644531,0.5,-0.123785
0.636719,0.5,-0.113772
0.636719,0.5,-0.113772
0.628906,0.5,-0.104101
0.628906,0.5,-0.104101
0.621094,0.5,-0.0942572
0.621094,0.5,-0.0942572
0.613281,0.5,-0.0847158
0.613281,0.5,-0.0847158
0.605469,0.5,-0.0749739
0.605469,0.5,-0.0749739
0.597656,0.5,-0.0655033
0.597656,0.5,-0.0655033
0.589844,0.5,-0.0558119
0.589844,0.5,-0.0558119
0.582031,0.5,-0.0463672
0.582031,0.5,-0.0463672
0.574219,0.5,-0.0366866
0.574219,0.5,-0.0366866
0.566406,0.5,-0.0272337
0.566406,0.5,-0.0272337
0.558594,0.5,-0.0175339
0.558594,0.5,-0.0175339
0.550781,0.5,-0.00804738
0.550781,0.5,-0.00804738
